week_ending,month,week_of_month,week_of_year,store,concept,sales,group_meal,guest_count
2/26/2017,Feb,4,8,MF4,Mighty Fine,58320,0,6357
2/26/2017,Feb,4,8,MFT1,Mighty Fine,7279,0,427
2/26/2017,Feb,4,8,MFT2,Mighty Fine,19539,0,2007
2/26/2017,Feb,4,8,Lamar,Rudys,0,0,0
2/26/2017,Feb,4,8,620,Rudys,120157,14836.16,5737
2/26/2017,Feb,4,8,Round Rock,Rudys,221579,22101.9,10818
2/26/2017,Feb,4,8,360,Rudys,195714,36299.48,8885
2/26/2017,Feb,4,8,183,Rudys,229467,39711.34,10706
3/5/2017,Mar,1,9,MF1,Mighty Fine,55033,0,5788
3/5/2017,Mar,1,9,MF2,Mighty Fine,51943,0,5456
3/5/2017,Mar,1,9,MF3,Mighty Fine,52721,0,5609
3/5/2017,Mar,1,9,MF4,Mighty Fine,58558,0,6296
3/5/2017,Mar,1,9,MFT1,Mighty Fine,0,0,0
3/5/2017,Mar,1,9,MFT2,Mighty Fine,18598,0,842
3/5/2017,Mar,1,9,Lamar,Rudys,0,0,0
3/5/2017,Mar,1,9,620,Rudys,116519,14541.35,5522
3/5/2017,Mar,1,9,Round Rock,Rudys,211902,21547.04,10449
3/5/2017,Mar,1,9,360,Rudys,194232,31536.4,8948
3/5/2017,Mar,1,9,183,Rudys,233872,45176.22,10502
3/12/2017,Mar,2,10,MF1,Mighty Fine,55370,0,5719
3/12/2017,Mar,2,10,MF2,Mighty Fine,48227,0,5060
3/12/2017,Mar,2,10,MF3,Mighty Fine,51513,0,5392
3/12/2017,Mar,2,10,MF4,Mighty Fine,57208,0,6147
3/12/2017,Mar,2,10,MFT1,Mighty Fine,7439,0,474
3/12/2017,Mar,2,10,MFT2,Mighty Fine,17767,0,1813
3/12/2017,Mar,2,10,Lamar,Rudys,0,0,0
3/12/2017,Mar,2,10,620,Rudys,113394,11807.81,5491
3/12/2017,Mar,2,10,Round Rock,Rudys,217394,22332.44,10552
3/12/2017,Mar,2,10,183,Rudys,225220,37639.13,10507
3/12/2017,Mar,2,10,360,Rudys,203085,44448.56,8605
3/19/2017,Mar,3,11,MF1,Mighty Fine,62909,0,6438
3/19/2017,Mar,3,11,MF2,Mighty Fine,57117,0,5932
3/19/2017,Mar,3,11,MF3,Mighty Fine,65075,0,6813
3/19/2017,Mar,3,11,MF4,Mighty Fine,65782,0,7028
3/19/2017,Mar,3,11,MFT1,Mighty Fine,17651,0,1066
3/19/2017,Mar,3,11,MFT2,Mighty Fine,19878,0,2058
3/19/2017,Mar,3,11,Lamar,Rudys,0,0,0
3/19/2017,Mar,3,11,620,Rudys,123522,9674.65,5977
3/19/2017,Mar,3,11,Round Rock,Rudys,227170,16315.5,11322
3/19/2017,Mar,3,11,183,Rudys,229512,28391.27,11105
3/19/2017,Mar,3,11,360,Rudys,213257,30413.26,9785
3/26/2017,Mar,4,12,MF1,Mighty Fine,59641,0,6090
3/26/2017,Mar,4,12,MF2,Mighty Fine,51770,0,5366
3/26/2017,Mar,4,12,MF3,Mighty Fine,53039,0,5525
3/26/2017,Mar,4,12,MF4,Mighty Fine,54289,0,5859
3/26/2017,Mar,4,12,MFT1,Mighty Fine,6459,0,407
3/26/2017,Mar,4,12,MFT2,Mighty Fine,19557,0,2023
3/26/2017,Mar,4,12,Lamar,Rudys,0,0,0
